BBB Time,Mag Vals,Lamor,,,
02:48.4,57557.274,334,,,
02:48.5,57921.036,376,,,0.115740741
02:48.6,57645.464,344,,,0.115740741
02:48.7,58583.69,342,,,0.115740741
02:48.8,57877.742,381,,,0.115740741
02:48.9,57608.105,342,,,0.115740741
02:49.0,57379.775,344,,,0.116898148
02:49.1,58374.427,342,,,0.115740741
02:49.2,58309.372,344,,,0.115740741
02:49.3,57212.715,337,,,0.115740741
02:49.4,57445.464,327,,,0.115740741
02:49.5,58252.312,334,,,0.115740741
02:49.6,58023.227,332,,,0.115740741
02:49.7,57912.67,374,,,0.115740741
02:49.8,57670.99,352,,,0.115740741
02:49.9,57972.88,376,,,0.115740741
02:50.0,57072.811,356,,,0.115740741
02:50.1,58267.393,347,,,0.116898148
02:50.2,57909.315,356,,,0.115740741
02:50.3,57764.754,374,,,0.115740741
02:50.4,57007.713,361,,,0.115740741
02:50.5,57525.807,398,,,0.115740741
02:50.6,57114.705,332,,,0.115740741
02:50.7,57234.883,337,,,0.115740741
02:50.8,57376.684,347,,,0.115740741
02:50.9,57560.189,371,,,0.115740741
02:51.0,57000.731,334,,,0.115740741
02:51.1,58291.683,339,,,0.115740741
02:51.2,58556.059,317,,,0.116898148
02:51.3,58536.687,339,,,0.115740741
02:51.4,57161.265,366,,,0.115740741
02:51.5,58052.726,334,,,0.115740741
02:51.6,57735.924,332,,,0.115740741
02:51.7,58275.758,327,,,0.115740741
02:51.8,57403.057,388,,,0.115740741
02:51.9,57935.825,339,,,0.115740741
02:52.0,57812.08,342,,,0.115740741
02:52.1,58354.841,332,,,0.116898148
02:52.2,57822.415,325,,,0.115740741
02:52.3,58297.781,366,,,0.115740741
02:52.4,57765.526,330,,,0.115740741
02:52.5,58220.081,369,,,0.115740741
02:52.6,57562.392,366,,,0.115740741
02:52.7,58191.919,352,,,0.115740741
02:52.8,57367.066,322,,,0.116898148
02:52.9,57930.763,347,,,0.115740741
02:53.0,58231.672,361,,,0.115740741
02:53.1,57892.819,381,,,0.115740741
02:53.2,58043.078,354,,,0.115740741
02:53.3,57625.951,347,,,0.116898148
02:53.4,57268.588,352,,,0.115740741
02:53.5,58085.588,337,,,0.115740741
02:53.6,57914.167,339,,,0.115740741
02:53.7,58825.688,332,,,0.115740741
02:53.8,58371.27,371,,,0.115740741
02:53.9,57687.201,339,,,0.116898148
02:54.0,57335.268,354,,,0.115740741
02:54.1,57998.787,327,,,0.115740741
02:54.2,56843.68,359,,,0.115740741
02:54.3,58305.987,371,,,0.115740741
02:54.4,58326.68,371,,,0.115740741
02:54.5,58100.243,374,,,0.116898148
02:54.6,57590.694,369,,,0.115740741
02:54.7,58423.203,369,,,0.115740741
02:54.8,57939.865,339,,,0.115740741
02:54.9,58866.172,359,,,0.115740741
02:55.0,57745.06,354,,,0.115740741
02:55.1,58082.726,320,,,0.115740741
02:55.2,58020.474,352,,,0.116898148
02:55.3,59688.558,391,,,0.115740741
02:55.4,58381.384,330,,,0.115740741
02:55.5,58376.784,381,,,0.115740741
02:55.6,58616.695,364,,,0.115740741
02:55.7,58934.568,366,,,0.115740741
02:55.8,57804.916,364,,,0.115740741
02:55.9,59025.659,383,,,0.115740741
02:56.0,58433.838,339,,,0.115740741
02:56.1,58440.722,330,,,0.116898148
02:56.2,58244.594,334,,,0.115740741
02:56.3,59549.737,317,,,0.115740741
02:56.4,58254.485,347,,,0.115740741
02:56.5,58389.88,369,,,0.115740741
02:56.6,57883.223,364,,,0.115740741
02:56.7,58629.078,337,,,0.115740741
02:56.8,58009.198,330,,,0.115740741
02:56.9,58053.674,334,,,0.115740741
02:57.0,58292.539,342,,,0.116898148
02:57.1,59025.338,378,,,0.115740741
02:57.2,57830.302,369,,,0.115740741
02:57.3,58830.686,344,,,0.115740741
02:57.4,58008.569,339,,,0.115740741
02:57.5,58455.912,342,,,0.115740741
02:57.6,58069.797,332,,,0.116898148
02:57.7,58744.684,337,,,0.115740741
02:57.8,57835.522,332,,,0.115740741
02:57.9,58175.768,332,,,0.115740741
02:58.0,58387.636,359,,,0.115740741
02:58.1,58839.568,374,,,0.115740741
02:58.2,58893.744,332,,,0.115740741
02:58.3,59126.633,337,,,0.116898148
02:58.4,58215.206,344,,,0.115740741
02:58.5,59271.12,347,,,0.115740741
02:58.6,58481.531,344,,,0.115740741
02:58.7,58484.707,337,,,0.115740741
02:58.8,58572.654,339,,,0.115740741
02:58.9,58444.668,327,,,0.116898148
02:59.0,58222.213,332,,,0.115740741
02:59.1,57891.144,347,,,0.115740741
02:59.2,58695.668,354,,,0.115740741
02:59.3,59609.278,332,,,0.115740741
02:59.4,59431.019,344,,,0.115740741
02:59.5,59384.389,332,,,0.116898148
02:59.6,58032.064,325,,,0.115740741
02:59.7,59013.155,376,,,0.115740741
02:59.8,58571.833,361,,,0.115740741
02:59.9,59240.804,374,,,0.115740741
03:00.0,57377.358,388,,,0.115740741
03:00.1,58866.465,344,,,0.115740741
03:00.2,57756.493,352,,,0.116898148
03:00.3,58487.46,344,,,0.115740741
03:00.4,58441.462,332,,,0.115740741
03:00.5,59028.17,361,,,0.115740741
03:00.6,58375.324,334,,,0.115740741
03:00.7,59283.098,374,,,0.115740741
