BBB Time,Mav Time,Mav Alt,Mav Lat,Mav Lon,,,,,,,,
00:00.0,197775,850,0,0,,,,,,,,
1/86400,197878,850,0,0,,,#VALUE!,0.1030,,,,
02:48.5,197975,850,0,0,,,#VALUE!,0.0970,,,,86400
02:48.6,198075,850,0,0,,,0.115740741,0.1000,,,,
02:48.7,198175,850,0,0,,,0.115740741,0.1000,,,,
02:48.8,198275,850,0,0,,,0.115740741,0.1000,,,,
02:48.9,198375,850,0,0,,,0.115740741,0.1000,,,,
02:49.0,198475,850,0,0,,,0.115740741,0.1000,,,,
02:49.1,198575,850,0,0,,,0.115740741,0.1000,,,,
02:49.2,198675,850,0,0,,,0.113425926,0.1000,,,,
02:49.3,198780,850,0,0,,,0.125,0.1050,,,,
02:49.4,198875,850,0,0,,,0.109953704,0.0950,,,,
02:49.5,198975,850,0,0,,,0.115740741,0.1000,,,,
08:28.7,537574,57630,492563544,-1229222905,,,392.5752315,338.5990,,,,
08:28.8,537674,57450,492563519,-1229222899,,,0.115740741,0.1000,,,,
08:28.9,537776,57450,492563519,-1229222899,,,0.12037037,0.1020,,,,
08:29.2,538074,57450,492563528,-1229222916,,,0.34375,0.2980,,,,
08:29.3,538174,57450,492563528,-1229222916,,,0.119212963,0.1000,,,,
08:29.4,538279,57760,492563547,-1229222921,,,0.119212963,0.1050,,,,
08:29.5,538374,57760,492563547,-1229222921,,,0.108796296,0.0950,,,,
08:29.6,538474,58020,492563560,-1229222927,,,0.116898148,0.1000,,,,
08:29.7,538574,58020,492563560,-1229222927,,,0.115740741,0.1000,,,,
08:29.8,538674,58030,492563572,-1229222947,,,0.115740741,0.1000,,,,
08:29.9,538775,58030,492563572,-1229222947,,,0.125,0.1010,,,,
08:30.0,538877,57750,492563572,-1229222955,,,0.105324074,0.1020,,,,
08:30.1,538977,57750,492563572,-1229222955,,,0.118055556,0.1000,,,,
08:30.2,539077,57350,492563568,-1229222971,,,0.113425926,0.1000,,,,
08:30.3,539177,57350,492563568,-1229222971,,,0.115740741,0.1000,,,,
08:30.4,539274,56920,492563556,-1229222993,,,0.118055556,0.0970,,,,
08:30.5,539374,56920,492563556,-1229222993,,,0.114583333,0.1000,,,,
08:30.6,539474,55790,492563541,-1229223068,,,0.115740741,0.1000,,,,
08:30.7,539575,55790,492563541,-1229223068,,,0.116898148,0.1010,,,,
08:30.8,539675,54860,492563544,-1229223162,,,0.118055556,0.1000,,,,
