BBB Time,Mav Time,Mav Alt,Mav Lat,Mav Lon
01:27:10.476,5440268,39200,492562895,-1229224149
01:27:10.573,5440366,39190,492562895,-1229224149
01:27:10.670,5440466,39190,492562895,-1229224150
01:27:10.772,5440568,39180,492562894,-1229224150
01:27:10.870,5440666,39180,492562894,-1229224151
01:27:10.974,5440768,39170,492562894,-1229224152
01:27:11.070,5440868,39170,492562893,-1229224153
01:27:11.170,5440970,39170,492562892,-1229224154
01:27:11.270,5441066,39160,492562891,-1229224155
01:27:11.372,5441168,39160,492562890,-1229224156
01:27:11.469,5441265,39160,492562890,-1229224157
01:30:19.678,5630369,39060,492563173,-1229223699
01:30:19.778,5630464,39060,492563174,-1229223697
01:30:19.875,5630564,39060,492563176,-1229223696
01:30:20.176,5630867,39060,492563180,-1229223693
01:30:20.276,5630967,39060,492563180,-1229223692
01:30:20.380,5631064,39060,492563181,-1229223691
01:30:20.489,5631164,39060,492563182,-1229223690
01:30:20.585,5631267,39060,492563182,-1229223689
01:30:20.675,5631367,39060,492563183,-1229223689
01:30:20.771,5631464,39060,492563184,-1229223688
01:30:20.866,5631564,39060,492563184,-1229223689
01:30:20.968,5631667,39060,492563185,-1229223689
01:30:21.073,5631764,39060,492563186,-1229223689
01:30:21.169,5631867,39050,492563187,-1229223689
01:30:21.271,5631969,39050,492563188,-1229223689
01:30:21.364,5632064,39050,492563190,-1229223689
01:30:21.468,5632164,39050,492563192,-1229223689
01:30:21.563,5632267,39050,492563193,-1229223689
01:30:21.669,5632367,39050,492563195,-1229223689
01:30:21.762,5632464,39050,492563196,-1229223689
01:30:21.861,5632564,39050,492563197,-1229223688
01:30:21.963,5632664,39050,492563199,-1229223688
01:30:22.066,5632769,39050,492563200,-1229223687
01:30:22.160,5632864,39050,492563201,-1229223687
01:30:22.262,5632967,39050,492563202,-1229223687
01:30:22.368,5633069,39050,492563202,-1229223687
01:30:22.459,5633164,39050,492563203,-1229223687
01:30:22.562,5633267,39050,492563203,-1229223687
01:30:22.665,5633367,39050,492563203,-1229223688
01:30:22.760,5633464,39060,492563204,-1229223689
01:30:22.864,5633569,39050,492563204,-1229223690
01:30:22.963,5633667,39050,492563204,-1229223690
01:30:23.063,5633764,39050,492563205,-1229223690
01:30:23.155,5633864,39040,492563206,-1229223690
01:30:23.255,5633969,39040,492563206,-1229223689
01:30:23.354,5634064,39040,492563206,-1229223689
01:30:23.458,5634167,39040,492563206,-1229223689
01:30:23.553,5634264,39040,492563207,-1229223689
01:30:23.658,5634367,39030,492563207,-1229223688
01:30:23.752,5634467,39030,492563208,-1229223688
01:30:23.857,5634569,39030,492563209,-1229223689
01:30:23.956,5634664,39030,492563210,-1229223688
01:30:24.061,5634764,39030,492563211,-1229223688
01:30:24.163,5634864,39030,492563213,-1229223688
01:30:24.255,5634964,39030,492563215,-1229223689
01:30:24.354,5635064,39030,492563216,-1229223689
01:30:24.453,5635164,39030,492563218,-1229223689
01:30:24.553,5635264,39030,492563219,-1229223688
01:30:24.657,5635364,39040,492563220,-1229223688
01:30:24.752,5635464,39040,492563221,-1229223687
01:30:24.850,5635564,39040,492563221,-1229223686
01:30:24.951,5635664,39040,492563223,-1229223686
01:30:25.059,5635772,39040,492563224,-1229223686
01:30:25.160,5635864,39040,492563225,-1229223686
01:30:25.250,5635964,39030,492563226,-1229223686
01:30:25.349,5636064,39030,492563227,-1229223687
01:30:25.447,5636164,39030,492563228,-1229223688
01:30:25.549,5636264,39020,492563229,-1229223688
01:30:25.653,5636369,39020,492563230,-1229223689
01:30:25.748,5636464,39020,492563231,-1229223688
01:30:25.845,5636564,39010,492563232,-1229223688
01:30:25.942,5636664,39010,492563234,-1229223687
01:30:26.052,5636770,39010,492563235,-1229223686
01:30:26.146,5636864,39010,492563236,-1229223685
01:30:26.245,5636967,39000,492563237,-1229223684
01:30:26.345,5637064,39000,492563238,-1229223683
01:30:26.444,5637164,39000,492563239,-1229223682
01:30:26.544,5637267,39000,492563240,-1229223681
01:30:26.641,5637367,38990,492563240,-1229223680
01:30:26.738,5637464,38990,492563241,-1229223678
01:30:26.838,5637564,38990,492563242,-1229223677
01:30:26.937,5637664,38990,492563243,-1229223676
01:30:27.047,5637774,38990,492563244,-1229223674
01:30:27.141,5637864,38990,492563244,-1229223673
01:30:27.240,5637966,38990,492563245,-1229223671
01:30:27.340,5638064,39000,492563246,-1229223671
01:30:27.440,5638167,39000,492563247,-1229223670
01:30:27.539,5638267,39000,492563248,-1229223670
01:30:27.639,5638364,39010,492563249,-1229223670
01:30:27.739,5638464,39010,492563250,-1229223670
01:30:27.836,5638564,39020,492563252,-1229223670
01:30:27.938,5638664,39020,492563253,-1229223670
01:30:28.043,5638770,39030,492563254,-1229223671
01:30:28.136,5638864,39030,492563256,-1229223671
01:30:28.236,5638967,39040,492563258,-1229223672
01:30:28.334,5639064,39040,492563259,-1229223672
01:30:28.435,5639166,39050,492563261,-1229223673
01:30:28.540,5639270,39050,492563262,-1229223674
01:30:28.634,5639364,39050,492563264,-1229223674
01:30:28.732,5639464,39050,492563265,-1229223675
01:30:28.829,5639564,39050,492563267,-1229223677
01:30:28.928,5639664,39050,492563268,-1229223678
01:30:29.038,5639770,39050,492563269,-1229223679
01:30:29.130,5639864,39050,492563270,-1229223680
01:30:29.231,5639964,39040,492563271,-1229223681
01:30:29.329,5640064,39050,492563272,-1229223681
01:30:29.428,5640164,39050,492563272,-1229223680
01:30:29.525,5640264,39050,492563273,-1229223680
01:30:29.629,5640364,39050,492563274,-1229223680
01:30:29.729,5640464,39050,492563275,-1229223679
01:30:29.826,5640564,39050,492563276,-1229223679
01:30:29.928,5640664,39060,492563278,-1229223678
01:30:30.036,5640770,39060,492563279,-1229223678
01:30:30.127,5640867,39060,492563280,-1229223677
01:30:30.226,5640964,39060,492563281,-1229223676
01:30:30.321,5641064,39060,492563282,-1229223675
01:30:30.423,5641164,39060,492563284,-1229223674
01:30:30.525,5641272,39070,492563285,-1229223673
01:30:30.624,5641364,39070,492563286,-1229223672
01:30:30.723,5641464,39070,492563287,-1229223671
01:30:30.823,5641564,39070,492563289,-1229223670
01:30:30.918,5641664,39070,492563290,-1229223667
01:30:31.028,5641770,39070,492563291,-1229223665
01:30:31.122,5641864,39070,492563292,-1229223663
01:30:31.221,5641964,39070,492563294,-1229223661
01:30:31.316,5642064,39070,492563295,-1229223659
01:30:31.419,5642164,39070,492563297,-1229223658
01:30:31.520,5642264,39070,492563298,-1229223656
01:30:31.619,5642364,39070,492563300,-1229223654
01:30:31.717,5642464,39070,492563301,-1229223652
01:30:31.818,5642567,39070,492563303,-1229223651
01:30:31.918,5642664,39070,492563305,-1229223649
01:30:32.023,5642774,39070,492563307,-1229223648
01:30:32.117,5642864,39070,492563309,-1229223646
01:30:32.212,5642964,39070,492563311,-1229223645
01:30:32.314,5643064,39060,492563313,-1229223643
01:30:32.416,5643164,39060,492563314,-1229223642
01:30:32.515,5643264,39060,492563316,-1229223641
01:30:32.614,5643374,39050,492563318,-1229223639
01:30:32.710,5643464,39050,492563320,-1229223638
01:30:32.809,5643564,39040,492563321,-1229223636
01:30:32.913,5643664,39040,492563323,-1229223636
01:30:33.019,5643764,39040,492563325,-1229223635
01:30:33.108,5643864,39030,492563326,-1229223635
01:30:33.210,5643964,39030,492563327,-1229223634
01:30:33.307,5644066,39030,492563329,-1229223634
01:30:33.409,5644164,39020,492563330,-1229223633
01:30:33.511,5644264,39020,492563332,-1229223632
01:30:33.610,5644367,39010,492563333,-1229223632
01:30:33.710,5644464,39010,492563334,-1229223631
01:30:33.809,5644564,39010,492563336,-1229223631
01:30:33.909,5644664,39010,492563337,-1229223631
01:30:34.019,5644770,39000,492563339,-1229223631
01:30:34.113,5644864,39000,492563341,-1229223631
01:30:34.208,5644964,39000,492563342,-1229223631
01:30:34.305,5645064,38990,492563343,-1229223630
01:30:34.402,5645164,38990,492563344,-1229223629
01:30:34.506,5645264,38990,492563346,-1229223629
01:30:34.604,5645364,38990,492563347,-1229223628
01:30:34.705,5645464,38990,492563349,-1229223627
01:30:34.804,5645564,38990,492563350,-1229223626
01:30:34.900,5645664,38990,492563352,-1229223625
01:30:35.006,5645764,38990,492563353,-1229223624
01:30:35.106,5645864,38990,492563355,-1229223624
01:30:35.201,5645967,38990,492563356,-1229223623
01:30:35.302,5646064,39000,492563358,-1229223623
01:30:35.400,5646164,39000,492563359,-1229223622
01:30:35.502,5646264,39000,492563360,-1229223621
01:30:35.601,5646366,39000,492563362,-1229223621
01:30:35.700,5646464,39000,492563364,-1229223620
01:30:35.800,5646564,39000,492563365,-1229223619
01:30:35.899,5646664,39000,492563367,-1229223618
01:30:36.001,5646764,39000,492563368,-1229223618
01:30:36.098,5646864,39000,492563369,-1229223617
01:30:36.196,5646964,39010,492563370,-1229223616
01:30:36.295,5647064,39000,492563371,-1229223615
01:30:36.397,5647167,39000,492563371,-1229223614
01:30:36.501,5647270,39000,492563372,-1229223614
01:30:36.595,5647364,39000,492563373,-1229223613
01:30:36.691,5647464,39000,492563374,-1229223613
01:30:36.795,5647564,39000,492563375,-1229223612
01:30:36.894,5647664,39000,492563375,-1229223612
01:30:36.999,5647764,39000,492563376,-1229223612
01:30:37.094,5647864,39000,492563376,-1229223611
01:30:37.188,5647964,39000,492563377,-1229223610
01:30:37.293,5648064,39000,492563378,-1229223609
01:30:37.390,5648164,39000,492563379,-1229223609
01:30:37.495,5648270,39000,492563380,-1229223608
01:30:37.591,5648364,39000,492563381,-1229223607
01:30:37.686,5648467,39000,492563382,-1229223607
01:30:37.788,5648564,39000,492563383,-1229223607
01:30:37.885,5648664,39000,492563383,-1229223607
01:30:37.991,5648764,39000,492563384,-1229223606
01:30:38.089,5648864,39010,492563384,-1229223606
01:30:38.186,5648966,39010,492563384,-1229223605
01:30:38.286,5649064,39010,492563385,-1229223605
01:30:38.385,5649164,39010,492563386,-1229223605
01:30:38.482,5649264,39010,492563387,-1229223605
