BBB Time,Weeks,Secs
01:27:09.105,2156,516982600
01:27:09.205,2156,516982700
01:27:09.304,2156,516982800
01:27:09.404,2156,516982900
01:27:09.504,2156,516983000
01:27:09.606,2156,516983100
01:27:09.703,2156,516983200
01:27:09.806,2156,516983300
01:27:09.901,2156,516983400
01:27:10.003,2156,516983500
01:27:10.101,2156,516983600
01:27:10.200,2156,516983700
01:27:10.300,2156,516983800
01:27:10.400,2156,516983900
01:27:10.535,2156,516984000
01:27:10.598,2156,516984100
01:27:10.699,2156,516984200
01:27:10.801,2156,516984300
01:27:10.899,2156,516984400
01:27:10.999,2156,516984500
01:27:11.098,2156,516984600
01:27:11.196,2156,516984700
01:30:19.672,2156,517174000
01:30:19.702,2156,517174100
01:30:19.801,2156,517174200
01:30:19.901,2156,517174300
01:30:20.031,2156,517174400
01:30:20.105,2156,517174500
01:30:20.200,2156,517174600
01:30:20.299,2156,517174700
01:30:20.398,2156,517174800
01:30:20.535,2156,517174900
01:30:20.598,2156,517175000
01:30:20.701,2156,517175100
01:30:20.800,2156,517175200
01:30:20.898,2156,517175300
01:30:21.030,2156,517175400
01:30:21.098,2156,517175500
01:30:21.194,2156,517175600
01:30:21.295,2156,517175700
01:30:21.394,2156,517175800
01:30:21.527,2156,517175900
01:30:21.660,2156,517176000
01:30:21.697,2156,517176100
01:30:21.793,2156,517176200
01:30:21.893,2156,517176300
01:30:22.025,2156,517176400
01:30:22.092,2156,517176500
01:30:22.192,2156,517176600
01:30:22.292,2156,517176700
01:30:22.390,2156,517176800
01:30:22.521,2156,517176900
01:30:22.590,2156,517177000
01:30:22.688,2156,517177100
01:30:22.788,2156,517177200
01:30:22.887,2156,517177300
01:30:23.019,2156,517177400
01:30:23.087,2156,517177500
01:30:23.187,2156,517177600
01:30:23.286,2156,517177700
01:30:23.387,2156,517177800
01:30:23.517,2156,517177900
01:30:23.664,2156,517178000
01:30:23.687,2156,517178100
01:30:23.786,2156,517178200
01:30:23.886,2156,517178300
01:30:24.013,2156,517178400
01:30:24.086,2156,517178500
01:30:24.182,2156,517178600
01:30:24.282,2156,517178700
01:30:24.382,2156,517178800
01:30:24.512,2156,517178900
01:30:24.580,2156,517179000
01:30:24.678,2156,517179100
01:30:24.782,2156,517179200
01:30:24.881,2156,517179300
01:30:25.009,2156,517179400
01:30:25.077,2156,517179500
01:30:25.179,2156,517179600
01:30:25.276,2156,517179700
01:30:25.375,2156,517179800
01:30:25.507,2156,517179900
01:30:25.640,2156,517180000
01:30:25.674,2156,517180100
01:30:25.773,2156,517180200
01:30:25.873,2156,517180300
01:30:26.005,2156,517180400
01:30:26.072,2156,517180500
01:30:26.177,2156,517180600
01:30:26.272,2156,517180700
01:30:26.372,2156,517180800
01:30:26.483,2156,517180900
01:30:26.570,2156,517181000
01:30:26.669,2156,517181100
01:30:26.769,2156,517181200
01:30:26.872,2156,517181300
01:30:26.980,2156,517181400
01:30:27.069,2156,517181500
01:30:27.167,2156,517181600
01:30:27.268,2156,517181700
01:30:27.368,2156,517181800
01:30:27.478,2156,517181900
01:30:27.620,2156,517182000
01:30:27.665,2156,517182100
01:30:27.767,2156,517182200
01:30:27.867,2156,517182300
01:30:27.977,2156,517182400
01:30:28.064,2156,517182500
01:30:28.166,2156,517182600
01:30:28.263,2156,517182700
01:30:28.363,2156,517182800
01:30:28.472,2156,517182900
01:30:28.561,2156,517183000
01:30:28.660,2156,517183100
01:30:28.759,2156,517183200
01:30:28.859,2156,517183300
01:30:28.968,2156,517183400
01:30:29.058,2156,517183500
