BBB Time,Mag Vals,Lamor
00:09:24.404,66437.394,413
00:09:24.505,66435.527,398
00:09:24.605,66436.518,383
00:09:24.705,66436.973,386
00:09:24.805,66435.436,420
00:09:24.906,66434.981,430
00:09:25.006,66437.544,374
00:09:25.106,66436.668,420
00:09:25.207,66435.496,371
00:09:25.307,66436.037,391
00:09:25.407,66430.986,383
00:09:25.507,66436.187,383
00:09:25.608,66435.466,405
00:09:25.708,66437.269,405
00:09:25.808,66437.544,374
00:09:25.909,66435.376,400
00:09:26.009,66436.307,410
00:09:26.109,66436.488,425
00:09:26.209,66436.493,378
00:09:26.310,66436.608,374
00:09:26.410,66436.127,374
00:09:26.510,66438.325,410
00:09:26.610,66437.003,388
00:09:26.711,66436.037,378
00:09:26.811,66438.024,383
00:09:26.911,66437.599,383
00:09:27.011,66431.827,413
00:09:27.112,66439.226,381
00:09:27.212,66438.925,420
00:09:27.312,66436.883,422
00:09:27.412,66438.084,391
00:09:27.513,66438.08,403
00:09:27.613,66437.964,388
00:09:27.713,66436.763,378
00:09:27.813,66437.509,388
00:09:27.914,66439.376,393
00:09:28.014,66437.003,361
00:09:28.114,66436.758,400
00:09:28.215,66437.844,396
00:09:28.315,66438.595,415
00:09:28.415,66437.334,374
00:09:28.515,66436.818,374
00:09:28.616,66438.775,376
00:09:28.716,66439.526,386
00:09:28.816,66438.145,393
00:09:28.917,66436.823,386
00:09:29.017,66439.226,383
00:09:29.117,66439.136,378
00:09:29.217,66438.265,374
00:09:29.318,66438.505,383
00:09:29.418,66433.719,420
00:09:29.518,66437.394,374
00:09:29.618,66436.007,378
00:09:29.719,66435.076,371
00:09:29.819,66438.445,374
00:09:29.919,66431.071,432
00:09:30.019,66435.226,435
00:09:30.120,66437.063,403
00:09:30.220,66434.681,415
00:09:30.320,66436.733,371
00:09:30.420,66435.496,442
00:09:30.520,66437.389,420
00:09:30.621,66435.466,408
00:09:30.721,66435.196,371
00:09:30.821,66436.187,393
00:09:30.921,66437.724,410
00:09:31.022,66437.394,381
00:09:31.122,66435.582,422
00:09:31.222,66438.595,381
00:09:31.322,66438.265,391
00:09:31.423,66435.106,374
00:09:31.523,66437.844,413
00:09:31.623,66438.505,410
00:09:31.723,66436.428,393
00:09:31.824,66436.127,427
00:09:31.924,66436.042,403
00:09:32.024,66438.23,388
00:09:32.124,66435.737,391
00:09:32.225,66436.222,396
00:09:32.325,66439.436,420
00:09:32.425,66437.394,435
00:09:32.525,66435.947,388
00:09:32.626,66437.869,391
00:09:32.726,66439.321,364
00:09:32.826,66437.599,393
00:09:32.927,66437.604,383
00:09:33.027,66439.556,432
00:09:33.127,66436.493,383
00:09:33.228,66434.741,393
00:09:33.328,66434.055,371
00:09:33.428,66435.286,393
00:09:33.528,66432.999,374
00:09:33.629,66433.719,383
00:09:33.729,66435.316,391
00:09:33.829,66434.32,432
00:09:33.930,66435.286,383
00:09:34.030,66434.445,386
00:09:34.130,66434.716,396
00:09:34.230,66433.749,378
00:09:34.331,66435.527,415
00:09:34.431,66438.02,430
00:09:34.531,66442.87,400
00:09:34.631,66437.123,403
