BBB Time,Weeks,Secs,,,,,,,,
00:00.1,2156,511727700,,,,,,max,0.346064815,0.3
00:00.2,2156,511727800,,,0.111111111,0.1,,avg,0.115438303,0.100335008
00:00.3,2156,511727900,,,0.118055556,0.1,,,,
00:00.4,2156,511728000,,,0.116898148,0.1,,,,
00:00.5,2156,511728100,,,0.109953704,0.1,,,,
00:00.6,2156,511728200,,,0.114583333,0.1,,,,
00:00.7,2156,511728300,,,0.116898148,0.1,,,,
00:01.0,2156,511728600,,,0.346064815,0.3,,,,
00:01.1,2156,511728700,,,0.113425926,0.1,,,,
00:01.2,2156,511728800,,,0.114583333,0.1,,,,
00:01.3,2156,511728900,,,0.115740741,0.1,,,,
00:01.4,2156,511729000,,,0.115740741,0.1,,,,
00:01.5,2156,511729100,,,0.113425926,0.1,,,,
00:01.6,2156,511729200,,,0.115740741,0.1,,,,
00:01.7,2156,511729300,,,0.114583333,0.1,,,,
00:01.8,2156,511729400,,,0.115740741,0.1,,,,
00:01.9,2156,511729500,,,0.171296296,0.1,,,,
00:02.0,2156,511729600,,,0.060185185,0.1,,,,
00:02.1,2156,511729700,,,0.113425926,0.1,,,,
00:02.2,2156,511729800,,,0.115740741,0.1,,,,
00:02.3,2156,511729900,,,0.114583333,0.1,,,,
00:02.4,2156,511730000,,,0.116898148,0.1,,,,
01:45.7,2156,511833900,,,,,,,,
01:45.8,2156,511834000,,,0.078703704,0.1,,,,
01:45.9,2156,511834100,,,0.113425926,0.1,,,,
01:46.0,2156,511834200,,,0.114583333,0.1,,,,
01:46.1,2156,511834300,,,0.114583333,0.1,,,,
01:46.2,2156,511834400,,,0.153935185,0.1,,,,
01:46.3,2156,511834500,,,0.078703704,0.1,,,,
01:46.4,2156,511834600,,,0.114583333,0.1,,,,
01:46.5,2156,511834700,,,0.115740741,0.1,,,,
01:46.6,2156,511834800,,,0.113425926,0.1,,,,
01:46.7,2156,511834900,,,0.152777778,0.1,,,,
01:46.8,2156,511835000,,,0.081018519,0.1,,,,
01:46.9,2156,511835100,,,0.111111111,0.1,,,,
01:47.0,2156,511835200,,,0.119212963,0.1,,,,
01:47.1,2156,511835300,,,0.114583333,0.1,,,,
01:47.2,2156,511835400,,,0.149305556,0.1,,,,
01:47.3,2156,511835500,,,0.153935185,0.1,,,,
01:47.4,2156,511835600,,,0.040509259,0.1,,,,
01:47.5,2156,511835700,,,0.115740741,0.1,,,,
01:47.6,2156,511835800,,,0.112268519,0.1,,,,
01:47.7,2156,511835900,,,0.152777778,0.1,,,,
01:47.8,2156,511836000,,,0.082175926,0.1,,,,
01:47.9,2156,511836100,,,0.114583333,0.1,,,,
01:48.0,2156,511836200,,,0.111111111,0.1,,,,
01:48.1,2156,511836300,,,0.115740741,0.1,,,,
01:48.2,2156,511836400,,,0.152777778,0.1,,,,
01:48.3,2156,511836500,,,0.079861111,0.1,,,,
01:48.4,2156,511836600,,,0.113425926,0.1,,,,
01:48.5,2156,511836700,,,0.114583333,0.1,,,,
01:48.6,2156,511836800,,,0.113425926,0.1,,,,
01:48.7,2156,511836900,,,0.152777778,0.1,,,,
01:48.8,2156,511837000,,,0.083333333,0.1,,,,
01:48.9,2156,511837100,,,0.113425926,0.1,,,,
01:49.0,2156,511837200,,,0.114583333,0.1,,,,
01:49.1,2156,511837300,,,0.111111111,0.1,,,,
01:49.2,2156,511837400,,,0.153935185,0.1,,,,
01:49.3,2156,511837500,,,0.153935185,0.1,,,,
01:49.4,2156,511837600,,,0.039351852,0.1,,,,
01:49.5,2156,511837700,,,0.115740741,0.1,,,,
01:49.5,2156,511837800,,,0.114583333,0.1,,,,
01:49.7,2156,511837900,,,0.134259259,0.1,,,,
01:49.7,2156,511838000,,,0.094907407,0.1,,,,
01:49.8,2156,511838100,,,0.114583333,0.1,,,,
01:49.9,2156,511838200,,,0.119212963,0.1,,,,
01:50.0,2156,511838300,,,0.109953704,0.1,,,,
01:50.2,2156,511838400,,,0.135416667,0.1,,,,
