BBB Time,Weeks,Secs,,,,,,,
21:41.8,2156,513036400,,,,,,,
21:41.9,2156,513036500,,0.113425926,0.1,,max,0.262731481,0.2
21:42.0,2156,513036600,,0.114583333,0.1,,avg,0.115192078,0.100033011
21:42.1,2156,513036700,,0.116898148,0.1,,,,
21:42.2,2156,513036800,,0.115740741,0.1,,,,
21:42.3,2156,513036900,,0.114583333,0.1,,,,
21:42.4,2156,513037000,,0.115740741,0.1,,,,
21:42.5,2156,513037100,,0.119212963,0.1,,,,
21:42.6,2156,513037200,,0.114583333,0.1,,,,
21:42.7,2156,513037300,,0.111111111,0.1,,,,
21:42.8,2156,513037400,,0.115740741,0.1,,,,
21:42.9,2156,513037500,,0.114583333,0.1,,,,
21:43.1,2156,513037600,,0.171296296,0.1,,,,
21:43.1,2156,513037700,,0.060185185,0.1,,,,
21:43.2,2156,513037800,,0.115740741,0.1,,,,
21:43.3,2156,513037900,,0.113425926,0.1,,,,
21:43.4,2156,513038000,,0.115740741,0.1,,,,
21:43.5,2156,513038100,,0.114583333,0.1,,,,
21:43.6,2156,513038200,,0.152777778,0.1,,,,
21:43.7,2156,513038300,,0.081018519,0.1,,,,
21:43.8,2156,513038400,,0.112268519,0.1,,,,
21:43.9,2156,513038500,,0.119212963,0.1,,,,
21:44.0,2156,513038600,,0.111111111,0.1,,,,
21:44.1,2156,513038700,,0.15625,0.1,,,,
26:28.8,2156,513324600,,,,,,,
26:28.9,2156,513324700,,0.112268519,0.1,,,,
26:29.0,2156,513324800,,0.113425926,0.1,,,,
26:29.1,2156,513324900,,0.115740741,0.1,,,,
26:29.2,2156,513325000,,0.12037037,0.1,,,,
26:29.3,2156,513325100,,0.111111111,0.1,,,,
26:29.4,2156,513325200,,0.113425926,0.1,,,,
26:29.5,2156,513325300,,0.152777778,0.1,,,,
26:29.6,2156,513325400,,0.077546296,0.1,,,,
26:29.7,2156,513325500,,0.115740741,0.1,,,,
26:29.8,2156,513325600,,0.206018519,0.1,,,,
26:29.9,2156,513325700,,0.02662037,0.1,,,,
26:30.0,2156,513325800,,0.152777778,0.1,,,,
26:30.1,2156,513325900,,0.077546296,0.1,,,,
