BBB Time,Mag Vals,Lamor
00:00:31.459,38745.468,251
00:00:31.560,37633.211,215
00:00:31.660,38714.535,244
00:00:31.760,36525.867,208
00:00:31.860,38690.445,210
00:00:31.960,37135.772,225
00:00:32.061,38358.195,251
00:00:32.161,37179.589,227
00:00:32.261,38054.236,229
00:00:32.361,37313.429,225
00:00:32.461,39039.455,193
00:00:32.562,37140.666,200
00:00:32.662,38077.084,222
00:00:32.762,37741.01,208
00:00:32.862,39083.881,242
00:00:32.963,37029.628,208
00:00:33.063,38598.622,256
00:00:33.163,37315.072,222
00:00:33.263,39531.075,220
00:00:33.364,37371.275,193
00:00:33.464,38956.827,212
00:00:33.564,37723.655,205
00:00:33.664,38225.307,256
00:00:33.765,37740.191,271
00:00:33.865,38305.377,276
00:00:33.965,37028.975,242
00:00:34.065,38746.711,234
00:00:34.166,37574.838,220
00:00:34.266,38706.042,212
00:00:34.366,37421.827,229
00:00:34.467,38219.556,210
00:00:34.567,37343.25,247
00:00:34.667,39156.666,205
00:00:34.767,37156.419,217
00:00:34.868,38434.726,212
00:00:34.968,37557.416,217
00:00:35.068,39087.623,198
00:00:35.169,37301.742,239
00:00:35.269,38506.93,227
00:00:35.369,37083.098,220
00:00:35.470,38891.119,208
00:00:35.570,37377.499,232
00:00:35.670,38112.934,212
00:00:35.770,37362.143,281
00:00:35.871,38952.537,242
00:00:35.971,37399.807,261
00:00:36.071,38696.487,227
00:00:36.171,37596.922,212
00:00:36.272,37881.854,227
00:00:36.372,37366.454,286
00:00:36.472,38739.345,261
00:00:36.573,37556.584,264
00:00:36.673,38857.047,210
00:00:36.773,37229.222,249
00:00:36.873,38575.738,215
00:00:36.974,37292.813,239
00:00:37.074,39039.455,261
00:00:37.174,37522.371,232
00:00:37.275,38793.619,208
00:00:37.375,36688.209,217
00:00:37.475,39052.072,227
00:00:37.576,37023.71,215
00:00:37.676,37962.962,256
00:00:37.776,37103.407,239
00:00:37.877,39050.553,281
00:00:37.977,37561.192,247
00:00:38.077,38980.913,212
00:00:38.177,36505.164,242
00:00:38.278,39134.764,229
00:00:38.378,37532.54,242
00:00:38.478,38525.647,229
00:00:38.579,36901.709,215
00:00:38.679,38806.193,232
00:00:38.779,37416.449,244
00:00:38.880,38975.105,239
00:00:38.980,37467.98,208
00:00:39.080,38428.826,190
00:00:39.181,37827.736,212
00:00:39.281,38648.681,259
00:00:39.381,36804.931,210
00:00:39.481,38539.469,193
00:00:39.582,37491.626,254
00:00:39.682,39359.983,200
00:00:39.782,37445.504,247
00:00:39.883,38720.562,237
00:00:39.983,36908.043,234
00:00:40.083,38297.096,278
00:00:40.183,37278.919,242
00:00:40.284,39211.152,234
00:00:40.384,37151.058,200
00:00:40.484,38502.153,261
00:00:40.584,37695.43,203
00:00:40.685,39388.763,220
00:00:40.785,37665.059,254
00:00:40.885,38928.032,271
00:00:40.986,37790.746,286
00:00:41.086,38572.2,234
00:00:41.186,36763.87,225
00:00:41.287,38766.439,237
00:00:41.387,37159.512,273
00:00:41.487,38573.698,291
00:00:41.588,37300.486,244
00:00:41.688,39058.704,215
00:00:41.788,37435.542,217
00:00:41.889,36298.011,264
00:00:41.989,36637.855,198
00:00:42.089,38624.452,239
00:00:42.189,37015.403,278
00:00:42.290,38831.532,242
00:00:42.390,37773.755,220
00:00:42.490,38807.051,210
00:00:42.591,37726.521,239
00:00:42.691,38946.262,249
00:00:42.791,37387.833,227
00:00:42.891,38553.29,217
00:00:42.992,37229.206,242
00:00:43.092,38805.456,266
00:00:43.193,37343.453,242
00:00:43.293,38053.975,247
00:00:43.393,37207.818,237
00:00:43.494,39081.182,273
00:00:43.594,37594.52,239
00:00:43.694,38148.643,229
00:00:43.795,37292.83,198
00:00:43.895,38674.608,217
00:00:43.995,36922.914,212
00:00:44.096,38800.212,215
00:00:44.196,37100.398,195
00:00:44.296,38336.455,212
00:00:44.397,37485.282,212
00:00:44.497,39032.274,249
00:00:44.597,37395.223,251
00:00:44.698,39160.629,261
00:00:44.798,37568.595,234
00:00:44.898,39529.914,222
00:00:44.999,37923.701,229
00:00:45.099,39003.497,247
00:00:45.199,37525.619,283
00:00:45.300,39089.196,261
00:00:45.400,37264.246,198
00:00:45.500,38604.164,198
00:00:45.601,37252.948,203
00:00:45.701,38722.602,232
00:00:45.801,37746.948,225
00:00:45.902,39074.109,288
00:00:46.002,37833.555,234
00:00:46.102,38357.244,269
00:00:46.203,37582.597,266
00:00:46.303,38992.732,259
00:00:46.403,37466.812,239
00:00:46.504,38713.095,259
00:00:46.604,37549.124,244
00:00:46.704,38892.36,208
00:00:46.805,37135.537,264
00:00:46.905,38499.978,222
00:00:47.005,36998.303,256
00:00:47.106,38383.52,210
00:00:47.206,37234.973,239
00:00:47.306,39142.232,239
00:00:47.406,37617.474,288
00:00:47.507,39293.92,271
00:00:47.607,37716.956,232
00:00:47.707,39180.85,237
00:00:47.808,38157.718,212
00:00:47.908,39407.007,225
00:00:48.008,37328.699,227
00:00:48.109,38705.873,208
00:00:48.209,37534.991,237
00:00:48.309,39104.19,203
00:00:48.410,38016.18,217
00:00:48.510,39727.368,220
00:00:48.611,38143.289,227
00:00:48.711,39126.037,283
00:00:48.811,37251.162,225
00:00:48.912,38908.657,261
00:00:49.012,37747.631,239
00:00:49.112,39040.778,256
00:00:49.213,37652.981,220
00:00:49.313,39677.844,205
00:00:49.413,38374.945,256
00:00:49.513,39001.36,300
00:00:49.614,37256.34,269
00:00:49.714,38938.55,266
00:00:49.814,37853.818,215
00:00:49.915,38683.672,254
00:00:50.015,37274.736,278
00:00:50.116,39271.675,281
00:00:50.216,37411.443,229
00:00:50.316,38173.77,242
00:00:50.417,37635.593,212
00:00:50.517,39675.542,234
00:00:50.618,38269.155,251
00:00:50.718,38735.471,261
00:00:50.819,37560.444,281
00:00:50.919,39637.39,225
00:00:51.019,38107.441,229
00:00:51.120,38496.841,266
00:00:51.220,37246.591,229
00:00:51.320,38775.241,269
00:00:51.421,37034.055,227
00:00:51.521,38654.451,266
00:00:51.621,37544.439,234
00:00:51.722,39480.338,264
00:00:51.822,38245.304,269
00:00:51.922,38972.899,215
00:00:52.023,37552.826,227
00:00:52.123,38494.536,313
00:00:52.223,37099.157,261
00:10:04.250,62801.214,269
00:10:04.351,61710.724,303
00:10:04.451,62552.79,276
00:10:04.552,61611.397,264
00:10:04.652,62815.875,308
00:10:04.753,62159.225,313
00:10:04.853,62314.671,283
00:10:04.954,61422.092,322
00:10:05.055,62170.377,266
00:10:05.155,61319.941,320
00:10:05.256,62534.339,259
00:10:05.356,61635.378,293
00:10:05.457,61950.822,291
00:10:05.558,61808.829,300
00:10:05.658,62329.273,269
00:10:05.759,61622.301,320
00:10:05.859,63031.422,310
00:10:05.960,62018.524,300
00:10:06.061,63153.424,276
00:10:06.161,61540.59,273
00:10:06.262,62016.563,278
00:10:06.362,62129.799,295
00:10:06.463,62000.03,271
00:10:06.563,61481.176,334
00:10:06.664,62277.612,310
00:10:06.765,61696.935,317
00:10:06.865,62795.355,293
00:10:06.966,61896.402,300
00:10:07.066,62687.697,308
00:10:07.167,61200.334,303
00:10:07.267,62458.78,291
00:10:07.368,61809.927,269
00:10:07.468,62897.119,273
