BBB Time,Mav Time,Mav Alt,Mav Lat,Mav Lon
00:00:32.812,58463,52940,492562966,-1229224320
00:00:32.910,58563,52970,492562964,-1229224320
00:00:33.010,58663,52970,492562964,-1229224320
00:00:33.118,58763,53060,492562960,-1229224313
00:00:33.210,58863,53060,492562960,-1229224313
00:00:33.311,58963,53070,492562956,-1229224310
00:00:33.413,59063,53070,492562956,-1229224310
00:00:33.511,59163,53220,492562952,-1229224301
00:00:33.614,59266,53220,492562952,-1229224301
00:00:33.712,59363,53340,492562948,-1229224295
00:00:33.812,59463,53340,492562948,-1229224295
00:00:33.912,59563,53450,492562943,-1229224290
00:10:04.252,627364,51860,492563008,-1229224064
00:10:04.347,627461,51860,492563007,-1229224064
00:10:04.446,627564,51850,492563006,-1229224065
00:10:04.750,627862,51850,492563001,-1229224066
00:10:04.850,627961,51850,492563000,-1229224066
00:10:04.951,628061,51850,492562999,-1229224065
00:10:05.051,628161,51840,492562998,-1229224065
00:10:05.152,628264,51840,492562997,-1229224066
00:10:05.253,628361,51840,492562996,-1229224066
00:10:05.353,628462,51840,492562996,-1229224067
00:10:05.454,628561,51840,492562996,-1229224067
00:10:05.554,628664,51830,492562995,-1229224067
00:10:05.660,628764,51830,492562994,-1229224068
00:10:05.761,628864,51820,492562993,-1229224067
00:10:05.856,628961,51820,492562993,-1229224067
00:10:05.962,629064,51810,492562992,-1229224067
00:10:06.062,629164,51810,492562991,-1229224068
00:10:06.158,629261,51800,492562989,-1229224068
00:10:06.259,629361,51800,492562988,-1229224069
00:10:06.359,629461,51800,492562987,-1229224069
00:10:06.460,629564,51790,492562985,-1229224070
00:10:06.560,629662,51790,492562983,-1229224070
00:10:06.666,629764,51790,492562982,-1229224070
00:10:06.761,629862,51780,492562979,-1229224070
00:10:06.862,629961,51780,492562977,-1229224070
00:10:06.960,630061,51780,492562974,-1229224071
00:10:07.063,630164,51780,492562972,-1229224071
00:10:07.163,630262,51770,492562969,-1229224072
00:10:07.264,630361,51770,492562967,-1229224073
00:10:07.365,630462,51770,492562965,-1229224073
00:10:07.463,630562,51770,492562964,-1229224074
00:10:07.566,630662,51770,492562963,-1229224075
00:10:07.672,630762,51770,492562962,-1229224076
00:10:07.768,630862,51770,492562960,-1229224076
00:10:07.868,630962,51770,492562959,-1229224077
00:10:07.968,631062,51770,492562958,-1229224077
00:10:08.071,631162,51770,492562957,-1229224078
00:10:08.172,631262,51770,492562955,-1229224078
00:10:08.273,631362,51770,492562954,-1229224079
00:10:08.371,631462,51770,492562951,-1229224080
00:10:08.469,631562,51780,492562949,-1229224080
00:10:08.574,631662,51780,492562947,-1229224081
00:10:08.678,631762,51790,492562946,-1229224081
00:10:08.773,631862,51790,492562944,-1229224081
00:10:08.874,631962,51800,492562943,-1229224081
00:10:08.976,632062,51810,492562941,-1229224081
00:10:09.075,632162,51810,492562940,-1229224081
00:10:09.175,632262,51820,492562938,-1229224081
00:10:09.280,632362,51820,492562937,-1229224081
00:10:09.376,632462,51820,492562935,-1229224080
00:10:09.477,632562,51830,492562934,-1229224079
00:10:09.577,632662,51830,492562932,-1229224079
00:10:09.691,632767,51830,492562931,-1229224079
00:10:09.790,632862,51830,492562930,-1229224079
00:10:09.879,632962,51830,492562929,-1229224080
00:10:09.980,633062,51830,492562928,-1229224080
00:10:10.080,633162,51830,492562926,-1229224080
00:10:10.181,633262,51830,492562925,-1229224080
00:10:10.281,633362,51830,492562924,-1229224080
