BBB Time,Weeks,Secs
00:00:32.227,2157,153261400
00:00:32.282,2157,153261500
00:00:32.383,2157,153261600
00:00:32.482,2157,153261700
00:00:32.582,2157,153261800
00:00:32.684,2157,153261900
00:00:32.783,2157,153262000
00:00:32.885,2157,153262100
00:00:32.986,2157,153262200
00:00:33.085,2157,153262300
00:00:33.184,2157,153262400
00:00:33.285,2157,153262500
00:00:33.385,2157,153262600
00:00:33.485,2157,153262700
00:00:33.586,2157,153262800
00:00:33.687,2157,153262900
00:00:33.786,2157,153263000
00:00:33.886,2157,153263100
00:00:33.989,2157,153263200
00:00:34.087,2157,153263300
00:10:04.233,2157,153830900
00:10:04.335,2157,153831000
00:10:04.434,2157,153831100
00:10:04.535,2157,153831200
00:10:04.636,2157,153831300
00:10:04.842,2157,153831400
00:10:04.862,2157,153831500
00:10:04.937,2157,153831600
00:10:05.037,2157,153831700
00:10:05.138,2157,153831800
00:10:05.239,2157,153831900
00:10:05.340,2157,153832000
00:10:05.440,2157,153832100
00:10:05.540,2157,153832200
00:10:05.641,2157,153832300
00:10:05.742,2157,153832400
00:10:05.844,2157,153832500
00:10:05.942,2157,153832600
00:10:06.044,2157,153832700
00:10:06.144,2157,153832800
00:10:06.245,2157,153832900
00:10:06.346,2157,153833000
00:10:06.446,2157,153833100
00:10:06.546,2157,153833200
00:10:06.647,2157,153833300
00:10:06.842,2157,153833400
00:10:06.862,2157,153833500
00:10:06.953,2157,153833600
00:10:07.051,2157,153833700
00:10:07.152,2157,153833800
00:10:07.252,2157,153833900
00:10:07.352,2157,153834000
00:10:07.453,2157,153834100
00:10:07.553,2157,153834200
00:10:07.654,2157,153834300
00:10:07.755,2157,153834400
00:10:07.855,2157,153834500
00:10:07.955,2157,153834600
00:10:08.056,2157,153834700
00:10:08.157,2157,153834800
00:10:08.258,2157,153834900
00:10:08.358,2157,153835000
00:10:08.459,2157,153835100
00:10:08.559,2157,153835200
00:10:08.660,2157,153835300
00:10:08.854,2157,153835400
00:10:08.874,2157,153835500
00:10:08.963,2157,153835600
00:10:09.062,2157,153835700
00:10:09.163,2157,153835800
00:10:09.263,2157,153835900
00:10:09.367,2157,153836000
00:10:09.464,2157,153836100
00:10:09.565,2157,153836200
00:10:09.666,2157,153836300
00:10:09.766,2157,153836400
00:10:09.867,2157,153836500
00:10:09.971,2157,153836600
00:10:10.067,2157,153836700
00:10:10.167,2157,153836800
00:10:10.268,2157,153836900
00:10:10.369,2157,153837000
00:10:10.469,2157,153837100
00:10:10.570,2157,153837200
00:10:10.670,2157,153837300
00:10:10.865,2157,153837400
00:10:10.885,2157,153837500
00:10:10.975,2157,153837600
00:10:11.072,2157,153837700
00:10:11.173,2157,153837800
00:10:11.274,2157,153837900
00:10:11.375,2157,153838000
00:10:11.475,2157,153838100
00:10:11.576,2157,153838200
00:10:11.676,2157,153838300
00:10:11.777,2157,153838400
00:10:11.878,2157,153838500
00:10:11.978,2157,153838600
00:10:12.079,2157,153838700
00:10:12.179,2157,153838800
00:10:12.279,2157,153838900
00:10:12.381,2157,153839000
00:10:12.481,2157,153839100
00:10:12.581,2157,153839200
00:10:12.681,2157,153839300
00:10:12.876,2157,153839400
00:10:12.896,2157,153839500
00:10:12.984,2157,153839600
00:10:13.083,2157,153839700
00:10:13.187,2157,153839800
00:10:13.288,2157,153839900
00:10:13.387,2157,153840000
00:10:13.486,2157,153840100
00:10:13.587,2157,153840200
00:10:13.687,2157,153840300
00:10:13.788,2157,153840400
00:10:13.889,2157,153840500
00:10:13.989,2157,153840600
00:10:14.090,2157,153840700
00:10:14.191,2157,153840800
00:10:14.291,2157,153840900
00:10:14.392,2157,153841000
00:10:14.492,2157,153841100
00:10:14.592,2157,153841200
00:10:14.692,2157,153841300
00:10:14.887,2157,153841400
00:10:14.907,2157,153841500
00:10:14.994,2157,153841600
00:10:15.095,2157,153841700
00:10:15.196,2157,153841800
00:10:15.297,2157,153841900
00:10:15.397,2157,153842000
00:10:15.497,2157,153842100
00:10:15.598,2157,153842200
00:10:15.697,2157,153842300
00:10:15.798,2157,153842400
00:10:15.899,2157,153842500
00:10:16.000,2157,153842600
00:10:16.100,2157,153842700
00:10:16.201,2157,153842800
00:10:16.301,2157,153842900
00:10:16.402,2157,153843000
00:10:16.502,2157,153843100
00:10:16.603,2157,153843200
00:10:16.703,2157,153843300
00:10:16.898,2157,153843400
00:10:16.918,2157,153843500
00:10:17.005,2157,153843600
00:10:17.105,2157,153843700
00:10:17.205,2157,153843800
00:10:17.307,2157,153843900
00:10:17.407,2157,153844000
00:10:17.507,2157,153844100
00:10:17.608,2157,153844200
00:10:17.711,2157,153844300
00:10:17.809,2157,153844400
00:10:17.910,2157,153844500
00:10:18.010,2157,153844600
00:10:18.110,2157,153844700
00:10:18.210,2157,153844800
00:10:18.310,2157,153844900
00:10:18.413,2157,153845000
00:10:18.513,2157,153845100
00:10:18.613,2157,153845200
00:10:18.713,2157,153845300
00:10:18.908,2157,153845400
00:10:18.928,2157,153845500
00:10:19.015,2157,153845600
00:10:19.118,2157,153845700
00:10:19.218,2157,153845800
00:10:19.317,2157,153845900
00:10:19.418,2157,153846000
00:10:19.517,2157,153846100
00:10:19.617,2157,153846200
00:10:19.717,2157,153846300
00:10:19.821,2157,153846400
00:10:19.920,2157,153846500
00:10:20.019,2157,153846600
00:10:20.120,2157,153846700
00:10:20.221,2157,153846800
00:10:20.322,2157,153846900
00:10:20.422,2157,153847000
00:10:20.522,2157,153847100
00:10:20.623,2157,153847200
00:10:20.723,2157,153847300
00:10:20.919,2157,153847400
00:10:20.939,2157,153847500
00:10:21.025,2157,153847600
00:10:21.125,2157,153847700
00:10:21.226,2157,153847800
00:10:21.327,2157,153847900
00:10:21.429,2157,153848000
00:10:21.527,2157,153848100
00:10:21.628,2157,153848200
00:10:21.728,2157,153848300
00:10:21.829,2157,153848400
00:10:21.930,2157,153848500
00:10:22.030,2157,153848600
00:10:22.130,2157,153848700
00:10:22.234,2157,153848800
00:10:22.331,2157,153848900
00:10:22.433,2157,153849000
00:10:22.532,2157,153849100
00:10:22.633,2157,153849200
00:10:22.733,2157,153849300
00:10:22.929,2157,153849400
00:10:22.949,2157,153849500
00:10:23.034,2157,153849600
00:10:23.138,2157,153849700
00:10:23.238,2157,153849800
00:10:23.337,2157,153849900
00:10:23.440,2157,153850000
00:10:23.537,2157,153850100
00:10:23.638,2157,153850200
00:10:23.738,2157,153850300
