BBB Time,Mag Vals,Lamor
00:11:00.026,68073.549,325
00:11:00.126,69163.379,281
00:11:00.227,66711.364,354
00:11:00.327,67844.179,320
00:11:00.428,67796.416,330
00:11:00.528,67961.184,303
00:11:00.629,66929.121,273
00:11:00.729,67226.851,327
00:11:00.830,67357.784,295
00:11:00.931,66160.335,273
00:11:01.031,67497.839,278
00:11:01.132,69058.214,303
00:11:01.232,67908.258,286
00:11:01.333,69120.862,332
00:11:01.433,66906.874,320
00:11:01.534,66330.549,293
00:11:01.634,67608.776,334
00:11:01.735,67944.835,300
00:11:01.835,67665.82,349
00:11:01.936,69388.373,339
00:11:02.036,66888.771,322
00:11:02.137,68994.725,332
00:11:02.237,67515.446,266
00:11:02.338,68804.223,278
00:11:02.438,67894.09,313
00:11:02.539,68403.722,283
00:11:02.639,68057.784,298
00:11:02.740,68957.038,308
00:11:02.840,67964.072,342
00:11:02.940,69617.793,325
00:11:03.041,67927.315,298
00:11:03.141,68982.555,295
00:11:03.242,67935.214,295
00:11:03.342,69286.194,291
00:11:03.443,67866.738,349
00:11:03.543,68901.159,293
00:11:03.644,67655.838,298
00:11:03.744,69015.731,281
00:11:03.845,66576.817,286
00:11:03.945,67385.757,288
00:11:04.046,67367.485,269
00:11:04.146,68726.891,300
00:11:04.247,67682.279,315
00:11:04.347,69143.464,300
00:11:04.448,68036.607,317
00:11:04.548,69496.989,298
00:11:04.649,67812.952,283
00:11:04.749,69283.273,334
00:11:04.850,68408.838,293
00:11:04.950,68828.424,295
00:11:05.051,67757.542,281
00:11:05.151,69520.201,308
00:11:05.252,67955.037,310
00:11:05.352,69262.45,295
00:11:05.453,68343.961,320
00:11:05.553,69186.821,293
00:11:05.654,68384.889,300
00:11:05.754,69569.484,334
00:11:05.855,68013.31,293
00:11:05.955,69440.796,288
00:11:06.056,68242.035,334
00:11:06.156,69428.515,295
00:11:06.257,68266.958,291
00:11:06.357,69083.549,288
00:11:06.458,68016.414,305
00:11:06.558,68895.536,295
00:11:06.659,67896.794,300
00:11:06.759,69600.638,295
00:11:06.860,68075.304,295
00:11:06.960,69645.274,305
00:11:07.061,67422.312,293
00:11:07.161,68996.534,298
00:11:07.262,68242.919,298
00:11:07.362,69300.799,322
00:11:07.463,68253.777,305
00:11:07.563,69391.011,315
00:11:07.664,68083.351,308
00:11:07.764,69553.278,325
00:11:07.865,67872.639,315
00:11:07.965,69432.44,334
00:11:08.066,68187.481,288
00:11:08.166,69046.766,293
00:11:08.267,68394.02,322
00:11:08.367,69565.557,303
00:11:08.468,67996.19,305
00:11:08.568,69424.65,337
00:11:08.669,67859.733,259
00:11:08.769,69596.715,334
00:11:08.870,67866.243,300
00:11:08.970,69668.172,286
00:11:09.071,68022.807,283
00:11:09.172,69406.184,310
00:11:09.272,68330.365,286
00:11:09.373,69447.58,291
00:11:09.473,68263.031,276
00:11:09.574,69469.536,300
00:11:09.674,67431.984,293
00:11:09.775,69511.467,291
00:11:09.875,68365.283,325
00:11:09.976,69454.396,300
00:11:10.076,68043.461,308
00:11:10.177,69718.109,347
00:11:10.277,67697.691,300
00:11:10.378,69774.087,305
00:11:10.478,68142.549,298
00:11:10.579,69474.656,332
00:11:10.679,68602.523,310
00:11:10.780,69601.933,283
00:11:10.880,68283.737,361
00:11:10.981,69437.686,293
00:11:11.081,68126.348,278
00:11:11.182,69340.252,281
00:11:11.282,68305.752,281
00:11:11.382,69561.22,325
00:11:11.483,68189.115,293
00:11:11.584,69403.292,288
00:11:11.684,68236.596,288
00:11:11.784,69473.494,293
00:11:11.885,68417.104,322
00:11:11.985,69635.724,283
00:11:12.086,68223.559,308
00:11:12.186,69699.434,337
00:11:12.287,68351.532,327
00:11:12.387,69696.67,334
00:11:12.488,68273.755,310
00:11:12.588,69567.691,278
00:11:12.689,68391.268,313
00:11:12.789,69377.186,339
00:11:12.890,68279.397,310
00:11:12.990,69909.154,295
00:11:13.091,68103.21,325
00:11:13.191,69531.508,344
00:11:13.292,68015.43,295
00:11:13.392,69596.746,330
00:11:13.493,68483.846,281
00:11:13.593,69693.181,281
00:11:13.693,68384.394,295
00:11:13.794,69652.345,295
00:11:13.895,68524.698,332
00:11:13.995,69451.413,308
00:11:14.096,68085.352,300
00:11:14.196,69901.763,332
00:11:14.297,68799.934,281
00:11:14.397,69409.858,308
00:11:14.498,68388.273,332
00:11:14.598,69604.975,344
00:11:14.699,68358.377,298
00:11:14.799,69918.596,327
00:11:14.900,68714.774,339
00:11:15.000,69392.615,342
00:11:15.101,68559.028,300
00:11:15.201,69493.691,305
00:11:15.302,67965.917,320
00:11:15.402,69880.571,298
00:11:15.503,68638.126,298
00:11:15.603,69685.912,278
00:11:15.704,68776.507,276
00:11:15.804,69438.848,295
00:11:15.905,68084.49,347
00:11:16.005,69606.045,308
00:11:16.106,68332.513,291
00:11:16.206,69837.475,305
00:11:16.307,68679.356,293
00:11:16.407,69306.547,332
00:11:16.508,68592.429,295
00:11:16.608,69852.461,313
00:11:16.709,67816.025,342
00:11:16.809,69740.375,313
00:11:16.909,68230.088,344
00:11:17.010,69859.047,305
00:11:17.110,68048.809,261
00:11:17.211,69879.876,337
00:11:17.311,68411.523,291
00:11:17.412,69752.86,308
00:11:17.512,68311.376,342
00:11:17.613,69729.794,327
00:11:17.713,68412.668,315
00:11:17.814,69672.574,308
00:11:17.914,68568.161,303
00:11:18.015,69457.475,273
00:11:18.115,68791.573,271
00:11:18.216,69644.683,337
00:11:18.316,68633.034,298
00:11:18.417,69559.4,295
00:11:18.517,68875.683,320
00:11:18.618,69527.99,334
00:11:18.718,68722.697,293
00:11:18.819,69628.062,308
00:11:18.919,68928.216,291
00:11:19.019,69513.038,339
00:11:19.120,68786.513,300
00:11:19.220,69503.112,298
00:11:19.321,68699.861,276
00:11:19.421,69681.275,320
00:11:19.522,68739.878,322
00:11:19.622,69987.258,317
00:11:19.723,68446.461,286
00:11:19.823,70012.064,293
00:11:19.924,68389.664,300
00:11:20.024,69877.917,281
00:11:20.125,68279.564,283
00:11:20.225,69974.611,313
00:11:20.326,68355.657,313
00:11:20.426,69769.096,332
00:11:20.527,69060.728,352
00:11:20.627,69633.841,298
00:11:20.728,68819.413,305
00:11:20.828,69692.33,334
00:27:34.108,42248.035,300
00:27:34.208,41912.276,291
00:27:34.309,41626.643,317
00:27:34.409,41361.863,308
00:27:34.509,40874.57,300
00:27:34.609,40570.563,339
00:27:34.710,40100.613,286
00:27:34.810,39811.086,300
00:27:34.910,39546.67,313
00:27:35.011,39101.756,300
00:27:35.111,38821.044,291
00:27:35.211,38565.037,334
00:27:35.311,38132.735,327
00:27:35.412,37883.582,293
00:27:35.512,37469.776,300
00:27:35.613,37219.453,317
00:27:35.713,36800.545,286
00:27:35.813,36559.59,347
00:27:35.914,36183.17,322
00:27:36.014,35952.022,293
00:27:36.114,35921.441,322
00:27:36.215,35562.586,298
00:27:36.315,35338.343,300
00:27:36.416,34978.677,310
00:27:36.516,34616.386,332
00:27:36.616,34388.953,325
00:27:36.717,34040.044,281
00:27:36.817,33827.11,291
00:27:36.917,33503.043,305
00:27:37.018,33158.253,293
00:27:37.118,32815.993,330
00:27:37.219,32624.591,315
00:27:37.319,32317.716,327
00:27:37.419,32116.642,300
00:27:37.520,31957.929,291
00:27:37.620,31791.435,295
00:27:37.721,31624.631,286
00:27:37.821,31344.004,344
00:27:37.921,31168.451,288
00:27:38.022,30874.201,308
00:27:38.122,30717.427,303
00:27:38.223,30565.612,305
00:27:38.323,30428.636,320
00:27:38.424,30274.018,295
00:27:38.524,30121.596,310
00:27:38.624,29860.457,332
00:27:38.725,29698.69,308
00:27:38.825,29440.104,303
00:27:38.926,29173.678,283
00:27:39.026,29021.212,303
00:27:39.126,28877.744,300
00:27:39.227,28751.561,308
00:27:39.327,28619.756,313
00:27:39.428,28391.699,298
00:27:39.528,28350.503,305
00:27:39.628,28126.75,300
00:27:39.729,27886.734,286
00:27:39.829,27749.804,288
00:27:39.929,27620.202,288
00:27:40.030,27505.01,327
00:27:40.130,27391.881,320
00:27:40.230,27274.539,313
00:27:40.331,27148.096,334
00:27:40.431,27023.125,327
00:27:40.531,26822.529,281
00:27:40.632,26701.695,303
00:27:40.732,26675.778,281
00:27:40.833,26579.632,295
00:27:40.933,26372.261,300
00:27:41.033,26157.482,305
00:27:41.134,26034.067,286
00:27:41.234,25921.102,298
00:27:41.334,25815.139,337
00:27:41.435,25622.921,310
00:27:41.535,25427.448,303
00:27:41.635,25312.123,295
00:27:41.736,25288.614,308
00:27:41.836,25196.29,356
00:27:41.937,25021.467,308
00:27:42.037,24913.46,310
00:27:42.137,24808.531,288
00:27:42.238,24622.139,308
00:27:42.338,24514.52,359
00:27:42.439,24421.502,288
00:27:42.539,24247.112,320
00:27:42.639,24145.335,330
00:27:42.740,23977.816,322
00:27:42.840,23876.586,286
00:27:42.940,23782.636,325
00:27:43.041,23693.218,298
00:27:43.141,23603.448,303
00:27:43.241,23512.152,313
00:27:43.342,23422.413,303
00:27:43.442,23336.058,300
00:27:43.542,23178.656,337
00:27:43.643,23083.296,300
00:27:43.743,22927.468,291
00:27:43.844,22835.123,293
00:27:43.944,22756.119,322
00:27:44.044,22674.114,283
00:27:44.145,22528.319,298
00:27:44.245,22437.594,337
00:27:44.346,22419.005,349
00:27:44.446,22347.098,325
00:27:44.546,22204.536,332
00:27:44.647,22117.076,317
00:27:44.747,21972.951,327
00:27:44.847,21823.455,339
00:27:44.948,21800.559,305
00:27:45.048,21731.861,339
00:27:45.149,21601.149,313
00:27:45.249,21517.951,315
00:27:45.349,21379.767,286
00:27:45.450,21297.222,303
00:27:45.550,21162.059,327
00:27:45.650,21086.041,330
00:27:45.751,21011.182,283
00:27:45.851,20885.805,320
00:27:45.952,20865.212,308
00:27:46.052,20750.441,305
00:27:46.152,20617.812,298
00:27:46.253,20539.567,330
00:27:46.353,20470.228,320
00:27:46.454,20460.21,320
00:27:46.554,20349.157,313
00:27:46.654,20273.61,344
00:27:46.755,20203.35,322
00:27:46.855,20137.488,310
00:27:46.956,20021.459,286
00:27:47.056,19904.868,342
00:27:47.156,19829.818,295
00:27:47.257,19767.119,303
00:27:47.357,19701.451,327
00:27:47.457,19590.079,303
00:27:47.558,19521.245,332
00:27:47.658,19411.04,330
00:27:47.758,19348.39,291
00:27:47.859,19285.926,339
00:27:47.959,19179.219,293
00:27:48.059,19108.418,288
00:27:48.160,19001.282,298
00:27:48.260,18939.952,295
00:27:48.360,18880.623,300
00:27:48.460,18776.155,303
00:27:48.561,18713.696,310
00:27:48.661,18608.879,327
00:27:48.761,18507.208,322
00:27:48.862,18442.927,295
00:27:48.962,18390.277,291
00:27:49.062,18334.9,305
00:27:49.162,18279.159,317
00:27:49.263,18224.413,313
00:27:49.363,18131.27,295
00:27:49.463,18071.707,303
00:27:49.564,18019.13,291
00:27:49.664,17928.222,325
00:27:49.764,17909.775,303
00:27:49.865,17861.573,337
00:27:49.965,17815.622,322
00:27:50.065,17766.18,337
00:27:50.166,17675.807,347
00:27:50.266,17620.122,303
00:27:50.366,17571.612,295
00:27:50.467,17523.777,308
00:27:50.567,17472.179,313
00:27:50.668,17420.646,308
00:27:50.768,17333.606,295
00:27:50.868,17280.736,320
00:27:50.969,17233.429,303
00:27:51.069,17187.338,286
