BBB Time,Mag Vals,Lamor,,,Delta t,count,,threshold
13:31.2,13261.127,330,,,,3,,00:00.7
13:31.3,13230.048,361,,,00:00.1,,,
13:31.4,13202.862,337,,,00:00.1,,,
13:31.5,13151.323,320,,,00:00.1,,,
13:31.6,13098.596,325,,,00:00.1,,,
13:31.7,13067.22,356,,,00:00.1,,,
13:31.8,13017.116,308,,,00:00.1,,,
13:31.9,12985.896,305,,,00:00.1,,,
13:32.0,12958.588,317,,,00:00.1,,,
13:32.1,12910.999,337,,,00:00.1,,,
13:32.2,12902.372,322,,,00:00.1,,,
13:32.3,12877.526,315,,,00:00.1,,,
13:32.4,12829.893,332,,,00:00.1,,,
13:32.5,12800.526,337,,,00:00.1,,,
13:32.6,12752.137,352,,,00:00.1,,,
13:32.7,12703.296,317,,,00:00.1,,,
13:32.8,12673.977,342,,,00:00.1,,,
13:32.9,12647.062,349,,,00:00.1,,,
13:33.0,12601.323,310,,,00:00.1,,,
13:33.1,12573.991,320,,,00:00.1,,,
13:33.2,12547.165,308,,,00:00.1,,,
13:33.3,12502.441,313,,,00:00.1,,,
13:33.4,12454.243,310,,,00:00.1,,,
13:33.5,12424.906,325,,,00:00.1,,,
13:33.6,12400.386,305,,,00:00.1,,,
13:33.7,12375.348,339,,,00:00.1,,,
13:33.8,12329.412,303,,,00:00.1,,,
13:33.9,12302.49,339,,,00:00.1,,,
13:34.0,843.297,339,,,00:00.1,,,
13:34.1,0,325,,,00:00.1,,,
13:34.2,0,317,,,00:00.1,,,
13:34.3,0,315,,,00:00.1,,,
13:34.4,0,332,,,00:00.1,,,
13:34.5,0,347,,,00:00.1,here,,
13:35.6,198222.119,313,,,00:01.1,,,
13:35.7,192173.734,320,,,00:00.1,,,
13:35.8,186654.31,325,,,00:00.1,,,
13:35.9,181113.403,347,,,00:00.1,,,
13:36.0,168357.261,315,,,00:00.1,,,
13:36.1,162888.284,320,,,00:00.1,,,
13:36.2,158668.167,298,,,00:00.1,,,
13:36.3,154562.712,327,,,00:00.1,,,
13:36.4,147751.978,315,,,00:00.1,,,
13:36.5,141299.549,317,,,00:00.1,,,
13:36.6,137717.495,342,,,00:00.1,,,
13:36.7,134922.766,308,,,00:00.1,,,
13:36.8,129561.373,303,,,00:00.1,,,
13:36.9,124652.814,305,,,00:00.1,,,
13:37.0,121798.265,317,,,00:00.1,,,
13:37.1,117562.251,315,,,00:00.1,,,
13:37.2,113322.057,305,,,00:00.1,,,
13:37.3,111002.331,313,,,00:00.1,,,
13:37.4,109147.882,300,,,00:00.1,,,
13:37.5,107451.489,325,,,00:00.1,,,
13:37.6,104190.374,300,,,00:00.1,,,
13:37.7,102238.255,308,,,00:00.1,,,
13:37.8,100556.767,313,,,00:00.1,,,
13:37.9,97777.389,344,,,00:00.1,,,
13:38.0,96070.842,361,,,00:00.1,,,
13:38.1,94671.457,315,,,00:00.1,,,
13:38.2,93195.629,327,,,00:00.1,,,
13:38.3,90746.211,339,,,00:00.1,,,
13:38.4,88295.944,300,,,00:00.1,,,
13:38.5,85859.348,342,,,00:00.1,,,
13:38.6,84473.434,342,,,00:00.1,,,
13:38.7,82342.1,334,,,00:00.1,,,
13:38.8,81229.366,369,,,00:00.1,,,
13:38.9,79311.534,317,,,00:00.1,,,
13:39.0,78166.389,317,,,00:00.1,,,
13:39.1,76460.32,342,,,00:00.1,,,
13:39.2,75405.494,313,,,00:00.1,,,
13:39.3,73775.714,356,,,00:00.1,,,
13:39.4,72829.714,337,,,00:00.1,,,
13:39.5,71978.459,349,,,00:00.1,,,
13:39.6,71152.557,330,,,00:00.1,,,
13:39.7,69731.969,356,,,00:00.1,,,
13:39.8,68845.916,322,,,00:00.1,,,
13:39.9,67450.864,344,,,00:00.1,,,
13:40.0,66630.313,327,,,00:00.1,,,
13:40.1,65309.349,342,,,00:00.1,,,
13:40.2,64025.203,313,,,00:00.1,,,
13:40.3,62751.373,320,,,00:00.1,,,
13:40.4,61599.78,320,,,00:00.1,,,
13:40.5,60902.431,354,,,00:00.1,,,
13:40.6,59850.051,303,,,00:00.1,,,
13:40.7,59219.698,315,,,00:00.1,,,
13:40.8,58630.085,308,,,00:00.1,,,
13:40.9,58091.616,310,,,00:00.1,,,
13:41.0,57544.57,313,,,00:00.1,,,
13:41.1,56572.164,334,,,00:00.1,,,
13:41.2,55617.304,349,,,00:00.1,,,
13:41.3,55080.232,320,,,00:00.1,,,
13:41.4,54975.349,305,,,00:00.1,,,
13:41.5,54173.776,317,,,00:00.1,,,
13:41.6,53649.248,320,,,00:00.1,,,
13:41.7,52836.583,317,,,00:00.1,,,
13:41.8,52311.069,310,,,00:00.1,,,
13:41.9,51530.946,322,,,00:00.1,,,
13:42.0,51061.409,337,,,00:00.1,,,
13:42.1,50635.059,359,,,00:00.1,,,
13:42.2,50249.436,310,,,00:00.1,,,
13:42.3,49840.849,310,,,00:00.1,,,
13:42.4,49151.771,342,,,00:00.1,,,
13:42.5,48716.799,344,,,00:00.1,,,
13:42.6,48341.755,310,,,00:00.1,,,
13:42.7,47962.274,322,,,00:00.1,,,
13:42.8,47595.787,313,,,00:00.1,,,
13:42.9,46951.072,347,,,00:00.1,,,
13:43.0,46547.541,320,,,00:00.1,,,
13:43.1,45935.552,352,,,00:00.1,,,
13:43.2,45532.41,308,,,00:00.1,,,
13:43.3,44919.748,313,,,00:00.1,,,
13:43.4,44570.496,305,,,00:00.1,,,
13:43.5,44259.598,332,,,00:00.1,,,
13:43.6,43675.218,320,,,00:00.1,,,
13:43.7,43084.533,313,,,00:00.1,,,
13:43.8,42759.452,315,,,00:00.1,,,
13:43.9,42236.589,352,,,00:00.1,,,
13:44.0,41915.567,298,,,00:00.1,,,
13:44.1,41626.702,322,,,00:00.1,,,
13:44.2,41139.177,310,,,00:00.1,,,
13:44.3,40821.594,320,,,00:00.1,,,
13:44.4,40344.649,305,,,00:00.1,,,
13:44.5,39845.909,327,,,00:00.1,,,
13:44.6,39556.389,342,,,00:00.1,,,
13:44.7,39303.346,342,,,00:00.1,,,
13:44.8,38860.538,313,,,00:00.1,,,
13:44.9,38594.892,334,,,00:00.1,,,
13:45.0,38346.935,298,,,00:00.1,,,
13:45.1,37922.878,325,,,00:00.1,,,
13:45.2,37669.876,349,,,00:00.1,,,
13:45.3,37253.874,352,,,00:00.1,,,
13:45.4,37020.567,308,,,00:00.1,,,
13:45.5,36792.187,339,,,00:00.1,,,
13:45.6,36410.194,322,,,00:00.1,,,
13:45.7,36167.162,320,,,00:00.1,,,
13:45.8,35779.487,325,,,00:00.1,,,
13:45.9,35545.371,320,,,00:00.1,,,
13:46.0,35175.587,305,,,00:00.1,,,
13:46.1,34946.666,339,,,00:00.1,,,
13:46.2,34770.103,354,,,00:00.1,,,
13:46.3,34577.073,300,,,00:00.1,,,
13:46.4,34225.005,315,,,00:00.1,,,
13:46.5,33859.819,320,,,00:00.1,,,
13:46.6,33656.254,317,,,00:00.1,,,
