BBB Time,Weeks,Secs
00:01:40.310,0,122300
00:01:40.358,0,122400
00:01:40.461,0,122500
00:01:40.559,0,122600
00:01:40.662,0,122700
00:01:40.755,0,122800
00:01:40.860,0,122900
00:01:40.959,0,123000
00:01:41.060,0,123100
00:01:41.160,0,123200
00:01:41.256,0,123300
00:01:41.360,0,123400
00:01:41.461,0,123500
00:01:41.560,0,123600
00:01:41.663,0,123700
00:01:41.760,0,123800
00:01:41.861,0,123900
00:01:41.961,0,124000
00:01:42.061,0,124100
00:01:42.161,0,124200
00:01:42.310,0,124300
00:01:42.357,0,124400
00:01:42.462,0,124500
00:01:42.562,0,124600
00:01:42.661,0,124700
00:01:42.762,0,124800
00:01:42.862,0,124900
00:01:42.962,0,125000
00:01:43.062,0,125100
00:01:43.162,0,125200
00:01:43.263,0,125300
00:01:43.358,0,125400
00:01:43.465,0,125500
00:01:43.563,0,125600
01:25:11.117,0,5110800
01:25:11.294,0,5110900
01:25:11.319,0,5111000
01:25:11.720,0,5111400
01:25:11.820,0,5111500
01:25:11.919,0,5111600
01:25:12.020,0,5111700
01:25:12.121,0,5111800
01:25:12.221,0,5111900
01:25:12.321,0,5112000
01:25:12.416,0,5112100
01:25:12.515,0,5112200
01:25:12.616,0,5112300
01:25:12.723,0,5112400
01:25:12.825,0,5112500
01:25:12.923,0,5112600
01:25:13.024,0,5112700
01:25:13.124,0,5112800
01:25:13.292,0,5112900
01:25:13.326,0,5113000
01:25:13.425,0,5113100
01:25:13.519,0,5113200
01:25:13.619,0,5113300
01:25:13.728,0,5113400
01:25:13.827,0,5113500
01:25:13.926,0,5113600
01:25:14.026,0,5113700
01:25:14.126,0,5113800
01:25:14.226,0,5113900
01:25:14.327,0,5114000
01:25:14.427,0,5114100
01:25:14.522,0,5114200
01:25:14.622,0,5114300
01:25:14.722,0,5114400
01:25:14.830,0,5114500
01:25:14.929,0,5114600
01:25:15.029,0,5114700
01:25:15.129,0,5114800
01:25:15.307,0,5114900
01:25:15.332,0,5115000
01:25:15.430,0,5115100
01:25:15.525,0,5115200
01:25:15.625,0,5115300
01:25:15.731,0,5115400
01:25:15.832,0,5115500
01:25:15.932,0,5115600
01:25:16.031,0,5115700
01:25:16.131,0,5115800
01:25:16.227,0,5115900
01:25:16.333,0,5116000
01:25:16.432,0,5116100
01:25:16.528,0,5116200
01:25:16.629,0,5116300
01:25:16.734,0,5116400
01:25:16.837,0,5116500
01:25:16.936,0,5116600
01:25:17.036,0,5116700
01:25:17.135,0,5116800
01:25:17.313,0,5116900
01:25:17.339,0,5117000
01:25:17.438,0,5117100
01:25:17.532,0,5117200
01:25:17.632,0,5117300
01:25:17.737,0,5117400
01:25:17.839,0,5117500
01:25:17.940,0,5117600
01:25:18.040,0,5117700
01:25:18.140,0,5117800
01:25:18.241,0,5117900
01:25:18.341,0,5118000
01:25:18.440,0,5118100
01:25:18.542,0,5118200
01:25:18.636,0,5118300
01:25:18.736,0,5118400
01:25:18.842,0,5118500
01:25:18.945,0,5118600
01:25:19.044,0,5118700
01:25:19.144,0,5118800
01:25:19.322,0,5118900
01:25:19.339,0,5119000
01:25:19.444,0,5119100
01:25:19.545,0,5119200
01:25:19.641,0,5119300
01:25:19.741,0,5119400
01:25:19.841,0,5119500
01:25:19.946,0,5119600
01:25:20.049,0,5119700
01:25:20.149,0,5119800
